Disease	Type	Country	Symptom	Transmission
New York virus				
Nipah virus	virus	madagascar ; india ; thailand ; malaysia ; bangladesh ; oman ; ghana ; cambodia ; australia 	muscle pain; vomiting; dizziness; headache; coma; itching; cough	respiratory; saliva; urine; contact; fomite; blood; food
Norwalk virus	virus			
O'nyong-nyong virus	virus			
Orf virus	virus			
Oropouche virus				
Pichinde virus				
Poliovirus	virus	pakistan ; united states ; venezuela 	muscle pain; headache	oral; blood; fecal; respiratory; sex; urine; contact
Punta toro phlebovirus				
Puumala virus				
Rabies virus	virus		anxiety; itching; headache	saliva; contact
Rift valley fever virus	virus			
Rosavirus A				
Ross river virus	virus	australia ; new zealand 	joint pain; chills; headache	blood; mosquitos
Rotavirus A	virus			
Rotavirus B				
Rotavirus C	virus			
Rubella virus	virus			respiratory; oral
Sagiyama virus				
Salivirus A				
Sandfly fever Naples phlebovirus				
Sandfly fever sicilian virus				
Sapporo virus				
SARS coronavirus 2				
Semliki forest virus	virus	uganda 		
Seoul virus				
Simian foamy virus				
Sindbis virus				
Southampton virus				
St. louis encephalitis virus				
Tick-borne powassan virus				
Torque teno virus	virus			
Uukuniemi virus				
Vaccinia virus	virus			
Varicella-zoster virus	virus			
Variola virus	virus			
Venezuelan equine encephalitis virus	virus	united states ; venezuela ; colombia ; guinea 	high fever; headache	blood; mosquitos
Vesicular stomatitis virus	virus	sudan 		
West Nile virus	virus	united states ; puerto rico ; greece ; romania ; south africa ; uganda ; hungary ; israel 	high fever; acidity	blood; contact; mosquitos
Western equine encephalitis virus	virus	united states 	depression	
WU polyomavirus	virus	australia 		respiratory; urine
Yaba monkey tumor virus				
Yaba-like disease virus				
Yellow fever virus	virus			
Zika virus	virus	uganda ; united states ; india ; angola ; tanzania ; french polynesia ; cook islands ; brazil ; gabon ; oman ; nigeria ; bangladesh ; canada ; australia ; singapore ; new zealand ; indonesia ; ireland ; jordan 	joint pain; headache	blood; sex; saliva; mosquitos; urine; food; contact
